date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:05	8953/8953	---M--	200	added ('OK')	image/jpeg	etag:%2222f9-53a568ac02540%22	http://ecd-sartrouville.fr/wp-content/uploads/2016/08/animathlon_ecd_sartrouville3-150x150.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2016/08/animathlon_ecd_sartrouville3-150x150.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:55:05	552935/552935	---M--	200	added ('OK')	image/jpeg	etag:%2286fe7-55057863bdc00%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/IMG_3457.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/IMG_3457.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:55:05	7764/7764	---M--	200	added ('OK')	image/jpeg	etag:%221e54-53a5688e71f80%22	http://ecd-sartrouville.fr/wp-content/uploads/2016/08/animathlon_ecd_sartrouville7-150x150.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2016/08/animathlon_ecd_sartrouville7-150x150.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:55:06	12061/12061	---M--	200	added ('OK')	image/jpeg	etag:%222f1d-53a5689ea85c0%22	http://ecd-sartrouville.fr/wp-content/uploads/2016/08/animathlon_ecd_sartrouville5-150x150.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2016/08/animathlon_ecd_sartrouville5-150x150.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:55:08	30723/30723	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:55:05%20GMT	http://ecd-sartrouville.fr/sport-1er-animathelon-de-sartrouville-avec-les-collegiens-decd-700.html/animathlon_ecd_sartrouville6	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/sport-1er-animathelon-de-sartrouville-avec-les-collegiens-decd-700.html/animathlon_ecd_sartrouville6.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:55:10	30822/30822	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:55:07%20GMT	http://ecd-sartrouville.fr/sport-1er-animathelon-de-sartrouville-avec-les-collegiens-decd-700.html/animathlon_ecd_sartrouville5	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/sport-1er-animathelon-de-sartrouville-avec-les-collegiens-decd-700.html/animathlon_ecd_sartrouville5.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:56:31	623788/623788	---M--	200	added ('OK')	image/jpeg	etag:%22984ac-5505787117b80%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/IMG_3455.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/IMG_3455.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:56:32	30169/30169	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:56:30%20GMT	http://ecd-sartrouville.fr/animathlon_ecd_sartrouville7	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/animathlon_ecd_sartrouville7.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:56:49	626938/626938	---M--	200	added ('OK')	image/jpeg	etag:%22990fa-53a5689ea85c0%22	http://ecd-sartrouville.fr/wp-content/uploads/2016/08/animathlon_ecd_sartrouville5.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2016/08/animathlon_ecd_sartrouville5.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:56:50	30168/30168	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:56:48%20GMT	http://ecd-sartrouville.fr/animathlon_ecd_sartrouville3	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/animathlon_ecd_sartrouville3.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:57:08	731480/731480	---M--	200	added ('OK')	image/jpeg	etag:%22b2958-53a5688e71f80%22	http://ecd-sartrouville.fr/wp-content/uploads/2016/08/animathlon_ecd_sartrouville7.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2016/08/animathlon_ecd_sartrouville7.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:57:09	30165/30165	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:57:07%20GMT	http://ecd-sartrouville.fr/animathlon_ecd_sartrouville4	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/animathlon_ecd_sartrouville4.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
